,result,golddiffat10,xpdiffat10,golddiffat15,xpdiffat15,position_bot,position_jng,position_mid,position_sup,position_top
472,0,-370.0,-65.0,-1708.0,-573.0,0,0,1,0,0
473,0,-359.0,-998.0,-720.0,-1590.0,1,0,0,0,0
474,0,-133.0,-73.0,-508.0,-27.0,0,0,0,1,0
480,1,747.0,650.0,574.0,623.0,0,0,0,0,1
481,1,-271.0,-554.0,-694.0,-1031.0,0,1,0,0,0
482,1,-579.0,-1189.0,-176.0,-1096.0,0,0,1,0,0
483,1,87.0,353.0,8.0,668.0,1,0,0,0,0
484,1,87.0,-443.0,-52.0,-1237.0,0,0,0,1,0
490,0,661.0,190.0,1567.0,828.0,0,0,0,0,1
491,0,31.0,279.0,656.0,779.0,0,1,0,0,0
492,0,-857.0,-1463.0,-531.0,-994.0,0,0,1,0,0
493,0,-406.0,-442.0,128.0,-702.0,1,0,0,0,0
494,0,368.0,-224.0,736.0,376.0,0,0,0,1,0
500,1,-63.0,-385.0,386.0,281.0,0,0,0,0,1
501,1,-161.0,-232.0,479.0,251.0,0,1,0,0,0
502,1,176.0,-73.0,220.0,167.0,0,0,1,0,0
503,1,428.0,426.0,862.0,990.0,1,0,0,0,0
504,1,97.0,72.0,126.0,-256.0,0,0,0,1,0
510,1,228.0,113.0,329.0,352.0,0,0,0,0,1
511,1,167.0,-409.0,-53.0,-759.0,0,1,0,0,0
512,1,46.0,-77.0,289.0,-23.0,0,0,1,0,0
513,1,487.0,372.0,723.0,-511.0,1,0,0,0,0
514,1,89.0,24.0,210.0,-104.0,0,0,0,1,0
520,1,1481.0,974.0,2517.0,885.0,0,0,0,0,1
521,1,-88.0,8.0,105.0,155.0,0,1,0,0,0
522,1,1325.0,222.0,1671.0,417.0,0,0,1,0,0
523,1,-24.0,657.0,-172.0,1163.0,1,0,0,0,0
524,1,15.0,-148.0,-228.0,-523.0,0,0,0,1,0
530,1,-28.0,-314.0,-771.0,-954.0,0,0,0,0,1
531,1,-408.0,-523.0,-163.0,26.0,0,1,0,0,0
532,1,-97.0,-326.0,-48.0,97.0,0,0,1,0,0
533,1,-472.0,213.0,-797.0,626.0,1,0,0,0,0
534,1,-524.0,-511.0,-766.0,-377.0,0,0,0,1,0
540,1,158.0,-178.0,724.0,-115.0,0,0,0,0,1
541,1,239.0,569.0,680.0,1578.0,0,1,0,0,0
542,1,214.0,29.0,335.0,-78.0,0,0,1,0,0
543,1,-41.0,393.0,-28.0,0.0,1,0,0,0,0
544,1,-329.0,-443.0,-186.0,-81.0,0,0,0,1,0
550,1,312.0,412.0,95.0,372.0,0,0,0,0,1
551,1,103.0,28.0,98.0,-510.0,0,1,0,0,0
552,1,-249.0,36.0,-216.0,-145.0,0,0,1,0,0
553,1,305.0,-54.0,1303.0,568.0,1,0,0,0,0
554,1,325.0,-16.0,1032.0,-93.0,0,0,0,1,0
560,1,-627.0,-567.0,-1315.0,-1248.0,0,0,0,0,1
561,1,-3.0,-49.0,-164.0,-23.0,0,1,0,0,0
562,1,-585.0,-523.0,-383.0,-704.0,0,0,1,0,0
563,1,160.0,-1.0,497.0,-239.0,1,0,0,0,0
564,1,27.0,52.0,412.0,-61.0,0,0,0,1,0
570,0,-324.0,-190.0,-608.0,-49.0,0,0,0,0,1
571,0,-259.0,-3.0,-471.0,-226.0,0,1,0,0,0
572,0,18.0,-203.0,154.0,-604.0,0,0,1,0,0
573,0,3.0,-125.0,-500.0,-98.0,1,0,0,0,0
574,0,59.0,348.0,-101.0,-8.0,0,0,0,1,0
580,0,373.0,-147.0,326.0,-257.0,0,0,0,0,1
581,0,145.0,-61.0,-37.0,-116.0,0,1,0,0,0
582,0,-757.0,-291.0,-978.0,-784.0,0,0,1,0,0
583,0,-523.0,-17.0,28.0,-485.0,1,0,0,0,0
584,0,-198.0,-183.0,-315.0,216.0,0,0,0,1,0
590,1,-266.0,-178.0,-549.0,-264.0,0,0,0,0,1
591,1,-768.0,-234.0,-1105.0,-628.0,0,1,0,0,0
592,1,-310.0,-626.0,-275.0,-379.0,0,0,1,0,0
593,1,236.0,-229.0,698.0,-82.0,1,0,0,0,0
594,1,129.0,455.0,82.0,474.0,0,0,0,1,0
600,0,-84.0,183.0,-342.0,-94.0,0,0,0,0,1
601,0,-563.0,-345.0,-148.0,17.0,0,1,0,0,0
602,0,-278.0,-706.0,-57.0,182.0,0,0,1,0,0
603,0,-379.0,-695.0,-175.0,-730.0,1,0,0,0,0
604,0,6.0,-403.0,322.0,-247.0,0,0,0,1,0
610,1,-147.0,-630.0,1074.0,709.0,0,0,0,0,1
611,1,246.0,-328.0,637.0,135.0,0,1,0,0,0
612,1,408.0,185.0,406.0,-287.0,0,0,1,0,0
613,1,100.0,50.0,1077.0,1020.0,1,0,0,0,0
614,1,154.0,179.0,283.0,664.0,0,0,0,1,0
620,1,-214.0,-34.0,354.0,743.0,0,0,0,0,1
621,1,-50.0,-266.0,-60.0,286.0,0,1,0,0,0
622,1,-678.0,-745.0,-844.0,-557.0,0,0,1,0,0
623,1,148.0,217.0,31.0,356.0,1,0,0,0,0
624,1,139.0,-29.0,211.0,-418.0,0,0,0,1,0
630,0,892.0,188.0,327.0,-983.0,0,0,0,0,1
631,0,733.0,651.0,1321.0,1881.0,0,1,0,0,0
632,0,-209.0,-221.0,-386.0,-248.0,0,0,1,0,0
633,0,-314.0,-77.0,-540.0,-265.0,1,0,0,0,0
634,0,-176.0,-282.0,-421.0,-247.0,0,0,0,1,0
640,0,121.0,-271.0,429.0,-418.0,0,0,0,0,1
641,0,45.0,54.0,-110.0,494.0,0,1,0,0,0
642,0,-97.0,97.0,447.0,977.0,0,0,1,0,0
643,0,186.0,-171.0,1018.0,427.0,1,0,0,0,0
644,0,67.0,203.0,43.0,-124.0,0,0,0,1,0
650,0,-321.0,-458.0,36.0,-123.0,0,0,0,0,1
651,0,-309.0,-249.0,341.0,639.0,0,1,0,0,0
652,0,-235.0,-191.0,-227.0,-409.0,0,0,1,0,0
653,0,458.0,208.0,55.0,284.0,1,0,0,0,0
654,0,261.0,290.0,48.0,-319.0,0,0,0,1,0
660,1,782.0,488.0,1058.0,239.0,0,0,0,0,1
661,1,-79.0,-173.0,375.0,44.0,0,1,0,0,0
662,1,102.0,1.0,285.0,510.0,0,0,1,0,0
663,1,-202.0,196.0,-440.0,424.0,1,0,0,0,0
664,1,-155.0,308.0,-471.0,-214.0,0,0,0,1,0
670,1,-286.0,-346.0,-462.0,-138.0,0,0,0,0,1
671,1,640.0,773.0,949.0,894.0,0,1,0,0,0
672,1,524.0,256.0,825.0,581.0,0,0,1,0,0
673,1,-1018.0,-397.0,-792.0,416.0,1,0,0,0,0
674,1,-186.0,127.0,-109.0,129.0,0,0,0,1,0
680,0,419.0,256.0,445.0,-791.0,0,0,0,0,1
681,0,333.0,-667.0,-265.0,-1222.0,0,1,0,0,0
682,0,198.0,585.0,146.0,504.0,0,0,1,0,0
683,0,1001.0,160.0,1114.0,82.0,1,0,0,0,0
684,0,913.0,881.0,951.0,909.0,0,0,0,1,0
690,1,867.0,1946.0,2132.0,3108.0,0,0,0,0,1
691,1,-490.0,323.0,-932.0,-416.0,0,1,0,0,0
692,1,45.0,-37.0,31.0,-84.0,0,0,1,0,0
693,1,1850.0,313.0,3374.0,228.0,1,0,0,0,0
694,1,585.0,494.0,1277.0,1023.0,0,0,0,1,0
700,1,639.0,266.0,907.0,296.0,0,0,0,0,1
701,1,135.0,249.0,22.0,-171.0,0,1,0,0,0
702,1,141.0,-57.0,474.0,-78.0,0,0,1,0,0
703,1,356.0,232.0,735.0,65.0,1,0,0,0,0
704,1,158.0,-34.0,166.0,310.0,0,0,0,1,0
710,0,-546.0,-587.0,-120.0,457.0,0,0,0,0,1
711,0,-425.0,-597.0,-833.0,-268.0,0,1,0,0,0
712,0,174.0,-69.0,535.0,-381.0,0,0,1,0,0
713,0,192.0,-603.0,426.0,-1154.0,1,0,0,0,0
714,0,441.0,78.0,714.0,560.0,0,0,0,1,0
720,1,311.0,563.0,512.0,1842.0,0,0,0,0,1
721,1,-224.0,-45.0,-601.0,-227.0,0,1,0,0,0
722,1,-308.0,-434.0,394.0,-186.0,0,0,1,0,0
723,1,120.0,391.0,146.0,448.0,1,0,0,0,0
724,1,-102.0,-567.0,-497.0,-768.0,0,0,0,1,0
730,0,-341.0,-105.0,-524.0,-1055.0,0,0,0,0,1
731,0,587.0,461.0,347.0,-91.0,0,1,0,0,0
732,0,2.0,-526.0,-1081.0,-2066.0,0,0,1,0,0
733,0,81.0,259.0,-75.0,-35.0,1,0,0,0,0
734,0,32.0,61.0,-249.0,94.0,0,0,0,1,0
740,1,-72.0,-224.0,1443.0,159.0,0,0,0,0,1
741,1,-319.0,-593.0,40.0,-503.0,0,1,0,0,0
742,1,5.0,-25.0,-1132.0,-1319.0,0,0,1,0,0
743,1,319.0,187.0,1002.0,982.0,1,0,0,0,0
744,1,113.0,428.0,105.0,63.0,0,0,0,1,0
750,0,-269.0,628.0,-876.0,-191.0,0,0,0,0,1
751,0,-176.0,-689.0,-167.0,-810.0,0,1,0,0,0
752,0,1132.0,879.0,817.0,649.0,0,0,1,0,0
753,0,191.0,-421.0,963.0,-798.0,1,0,0,0,0
754,0,-333.0,-450.0,230.0,-14.0,0,0,0,1,0
760,1,-193.0,-104.0,376.0,81.0,0,0,0,0,1
761,1,411.0,95.0,889.0,310.0,0,1,0,0,0
762,1,662.0,1111.0,1520.0,1444.0,0,0,1,0,0
763,1,-130.0,-59.0,-252.0,-270.0,1,0,0,0,0
764,1,630.0,-145.0,970.0,161.0,0,0,0,1,0
770,1,-54.0,-410.0,-13.0,-489.0,0,0,0,0,1
771,1,393.0,784.0,536.0,291.0,0,1,0,0,0
772,1,-46.0,-344.0,85.0,219.0,0,0,1,0,0
773,1,317.0,507.0,1224.0,521.0,1,0,0,0,0
774,1,-143.0,-9.0,260.0,251.0,0,0,0,1,0
780,1,796.0,703.0,266.0,-224.0,0,0,0,0,1
781,1,366.0,634.0,960.0,1628.0,0,1,0,0,0
782,1,340.0,-688.0,211.0,-535.0,0,0,1,0,0
783,1,-222.0,67.0,-1725.0,-802.0,1,0,0,0,0
784,1,86.0,-8.0,-435.0,-404.0,0,0,0,1,0
790,1,-323.0,-156.0,-667.0,-346.0,0,0,0,0,1
791,1,630.0,850.0,1835.0,1876.0,0,1,0,0,0
792,1,-3.0,216.0,1357.0,1372.0,0,0,1,0,0
793,1,633.0,-167.0,991.0,-223.0,1,0,0,0,0
794,1,260.0,-79.0,761.0,-200.0,0,0,0,1,0
800,0,49.0,187.0,-140.0,588.0,0,0,0,0,1
801,0,-367.0,43.0,-508.0,-396.0,0,1,0,0,0
802,0,-95.0,-136.0,-357.0,-561.0,0,0,1,0,0
803,0,-282.0,-250.0,-367.0,-827.0,1,0,0,0,0
804,0,-30.0,64.0,270.0,188.0,0,0,0,1,0
810,1,151.0,-493.0,1094.0,-1.0,0,0,0,0,1
811,1,52.0,340.0,-417.0,581.0,0,1,0,0,0
812,1,-199.0,-407.0,-47.0,-320.0,0,0,1,0,0
813,1,-6.0,63.0,-319.0,-288.0,1,0,0,0,0
814,1,-48.0,-481.0,104.0,-97.0,0,0,0,1,0
820,0,105.0,97.0,97.0,33.0,0,0,0,0,1
821,0,8.0,16.0,570.0,-204.0,0,1,0,0,0
822,0,-2.0,16.0,124.0,10.0,0,0,1,0,0
823,0,281.0,182.0,1652.0,938.0,1,0,0,0,0
824,0,12.0,604.0,422.0,177.0,0,0,0,1,0
830,0,69.0,617.0,245.0,100.0,0,0,0,0,1
831,0,213.0,-12.0,281.0,-183.0,0,1,0,0,0
832,0,-421.0,-156.0,-231.0,-508.0,0,0,1,0,0
833,0,219.0,-107.0,-250.0,-694.0,1,0,0,0,0
