,result,golddiffat10,xpdiffat10,golddiffat15,xpdiffat15
7386,1,1433.0,1893.0,4549.0,2474.0
7388,0,-1288.0,-1219.0,-1921.0,-934.0
7390,1,-336.0,1328.0,1944.0,3036.0
7392,1,639.0,25.0,1491.0,909.0
7394,0,-1850.0,-2075.0,-4190.0,-2789.0
7396,1,-361.0,-1386.0,519.0,1215.0
7398,1,289.0,-199.0,644.0,-2542.0
7400,1,-376.0,-1390.0,1.0,-839.0
7402,0,-225.0,-458.0,-287.0,-692.0
7404,1,1879.0,1236.0,6078.0,4018.0
7406,0,-91.0,246.0,-936.0,1479.0
7408,1,244.0,-84.0,-242.0,-192.0
7410,1,2621.0,1632.0,4421.0,5942.0
7412,1,1235.0,1413.0,2881.0,1142.0
7414,1,1052.0,-209.0,911.0,129.0
7416,1,2775.0,1074.0,2883.0,869.0
7418,0,-36.0,-198.0,-310.0,-1066.0
7420,0,1138.0,-159.0,793.0,-409.0
7422,0,1052.0,37.0,2174.0,-181.0
7424,0,-1343.0,-497.0,-2641.0,-722.0
7426,1,983.0,266.0,3668.0,2255.0
7428,1,583.0,1087.0,662.0,2134.0
7430,1,2322.0,2054.0,1117.0,678.0
7432,0,-549.0,62.0,-1927.0,-2667.0
7434,1,3761.0,3325.0,6719.0,4573.0
7436,0,,,,
7438,1,-179.0,-627.0,2901.0,124.0
7440,1,,,,
7442,1,1478.0,901.0,3089.0,-658.0
7444,1,2795.0,907.0,9352.0,6124.0
7446,1,678.0,-61.0,3865.0,3030.0
7448,0,-1155.0,-769.0,-2117.0,-3229.0
7450,0,131.0,-613.0,-763.0,-761.0
7452,0,-2189.0,-2284.0,-5728.0,-6291.0
7454,0,18.0,-1032.0,760.0,-1291.0
7456,1,1958.0,1299.0,1400.0,2343.0
7458,1,2312.0,1041.0,5369.0,4246.0
7460,1,-2187.0,-133.0,-322.0,1939.0
7462,0,-235.0,330.0,2082.0,2006.0
7464,1,960.0,1075.0,3516.0,3672.0
7466,1,-163.0,867.0,-679.0,972.0
7468,0,-1065.0,555.0,-2954.0,-1540.0
7470,0,-1542.0,-1519.0,-2563.0,-857.0
7472,1,1188.0,60.0,1529.0,577.0
7474,1,-1165.0,-786.0,-603.0,602.0
7476,0,-1726.0,-1305.0,-3188.0,-1515.0
7478,1,737.0,706.0,53.0,-282.0
7480,1,-2210.0,-1417.0,-3521.0,-1617.0
7482,0,-1157.0,-1474.0,-1407.0,104.0
7484,1,3486.0,694.0,3120.0,-1658.0
7486,1,1434.0,335.0,3160.0,1299.0
7488,0,-1962.0,-1634.0,-7163.0,-7641.0
7490,0,1084.0,870.0,983.0,974.0
7492,0,-224.0,-558.0,-3123.0,-3410.0
7494,1,904.0,-844.0,3201.0,1028.0
7496,0,-902.0,-1093.0,-2929.0,-2272.0
7498,0,274.0,183.0,563.0,943.0
7500,0,1495.0,2302.0,315.0,-245.0
7502,1,3725.0,2095.0,11581.0,6547.0
7504,0,18.0,-569.0,-841.0,-727.0
7506,0,-816.0,14.0,-2928.0,113.0
7508,1,-253.0,277.0,1848.0,-144.0
7510,1,3586.0,1626.0,5561.0,4268.0
7512,1,-37.0,-1673.0,-793.0,-2399.0
7514,1,1095.0,705.0,3021.0,1396.0
7516,1,368.0,455.0,3064.0,2040.0
7518,1,-292.0,145.0,1048.0,2295.0
7520,1,2533.0,1826.0,7225.0,4028.0
7522,1,86.0,-858.0,-625.0,-2473.0
7524,1,-26.0,-7.0,1093.0,299.0
7526,1,449.0,483.0,479.0,1898.0
7528,1,-1586.0,-566.0,-2311.0,-360.0
7530,0,-993.0,-661.0,-2438.0,-446.0
7532,0,-846.0,-601.0,-2758.0,-1684.0
7534,1,-236.0,357.0,-918.0,1207.0
7536,0,-861.0,842.0,-1843.0,530.0
7538,0,159.0,80.0,32.0,350.0
7540,1,-470.0,357.0,984.0,198.0
7542,1,1767.0,1416.0,4216.0,3444.0
7544,1,3900.0,2852.0,4049.0,3147.0
7546,1,-416.0,205.0,720.0,-784.0
7548,1,-262.0,-745.0,970.0,-872.0
7550,1,-398.0,500.0,1929.0,932.0
7552,0,,,,
7554,1,832.0,1335.0,-56.0,848.0
7556,1,1153.0,-437.0,1739.0,91.0
7558,1,184.0,1591.0,2628.0,2242.0
7560,0,1580.0,1036.0,1093.0,1814.0
7562,1,172.0,15.0,2085.0,1476.0
7564,1,-208.0,-789.0,1663.0,12.0
7566,1,1681.0,1180.0,2526.0,1148.0
7568,0,44.0,154.0,951.0,1133.0
7570,1,2063.0,883.0,2953.0,2518.0
7572,1,-251.0,663.0,1134.0,1667.0
7574,1,743.0,31.0,720.0,917.0
7576,1,1193.0,266.0,1788.0,-689.0
7578,0,936.0,899.0,-646.0,949.0
7580,1,1404.0,-295.0,2121.0,94.0
7582,1,669.0,503.0,1007.0,2330.0
7584,0,323.0,-1560.0,847.0,-950.0
7586,1,381.0,-419.0,113.0,-1198.0
7588,0,-133.0,-658.0,-2646.0,-3683.0
7590,1,-610.0,-28.0,-1655.0,-862.0
7592,0,1108.0,399.0,3361.0,787.0
7594,0,-155.0,-598.0,242.0,908.0
7596,1,1455.0,185.0,2300.0,-1220.0
7598,0,238.0,868.0,441.0,-225.0
7600,0,-404.0,-1139.0,-2720.0,-3986.0
7602,1,1300.0,899.0,982.0,359.0
7604,1,1602.0,1736.0,1015.0,955.0
7606,1,-1065.0,-1683.0,-1587.0,-1262.0
